NSN,Item Name
"""5133-01-671-7089""","""DRILL,TWIST"""
"""5133-01-671-3884""","""BIT,SPADE,WOOD BORING"""
"""5120-01-593-0172""","""WRENCH,PLIER"""
"""7420-01-671-1818""","""CALCULATOR,ELECTRONIC"""
"""5110-01-672-1738""","""BRACKET,ANGLE"""
"""5130-01-026-9592""","""NUT SETTER ATTACHMENT,POWER TOOL"""
"""5133-01-671-4346""","""BIT,SPADE,WOOD BORING"""
"""5110-01-587-6686""","""KNIFE,CRAFTSMAN'S"""
"""5120-00-293-0574""","""NO ITEM NAME AVAILABLE"""
"""5110-01-652-0391""","""CHISEL,COLD,HAND"""
"""5110-01-671-7374""","""FILE,HAND"""
"""5315-01-397-7513""","""STAPLE"""
"""5130-00-417-8209""","""BIT,SCREWDRIVER"""
"""7520-01-659-7490""","""SHARPENER,PENCIL"""
"""5133-01-671-6120""","""BIT,AUGER"""
"""5120-01-671-7103""","""PLIERS"""
"""5133-01-017-8309""","""BIT,SPADE,WOOD BORING"""
"""5130-01-536-3260""","""BIT,SCREWDRIVER"""
"""7920-01-588-0047""","""BRUSH,WIRE,SCRAPER"""
"""5210-01-652-0439""","""TAPE,MEASURING"""
"""5130-01-670-0817""","""CASTER SET"""
"""5130-00-459-2185""","""BIT,SCREWDRIVER"""
"""5120-01-563-3612""","""BIT,SCREWDRIVER"""
"""5140-01-671-7965""","""ROLL,TOOLS AND ACCESSORIES"""
"""5120-01-587-9566""","""SCREWDRIVER,FLAT TIP"""
"""5130-01-657-7161""","""SAW,JIG,ELECTRIC,PORTABLE"""
"""5130-01-671-7972""","""ROLL,TOOLS AND ACCESSORIES"""
"""5120-01-587-9679""","""TAPE,FISH"""
"""5120-01-671-1467""","""PLIERS,SLIP JOINT"""
"""5130-01-671-7964""","""STAPLER,PNEUMATIC,PORTABLE"""
"""4020-01-674-2795""","""ROPE,FIBROUS"""
"""5110-01-570-9836""","""COUPLER,DIGITAL DATA"""
"""5133-01-671-3006""","""DRILL,TWIST"""
"""5130-01-584-8276""","""CIRCUIT CARD ASSEMBLY"""
"""5136-01-663-8765""","""TAPPING TOOL,SCREWDRIVER HANDLE"""
"""5110-01-648-8493""","""CHISEL,COLD,HAND"""
"""5120-01-648-7520""","""PUNCH,CENTER,SOLID"""
"""5133-01-017-8307""","""BIT,SPADE,WOOD BORING"""
"""5133-01-671-4978""","""BIT,SPADE,WOOD BORING"""
"""5210-01-017-6143""","""NO ITEM NAME AVAILABLE"""
"""5110-01-671-9374""","""CUTTER,TUBE"""
"""5340-01-674-2787""","""LEVELER,LADDER"""
"""5140-01-671-7954""","""TRAY,TOTE,MECHANIC'S"""
"""5110-01-659-9594""","""KNIFE,TAPE,DRYWALL"""
"""5140-01-671-7385""","""ROLL,TOOLS AND ACCESSORIES"""
"""5110-01-644-5823""","""HANDLE,FILE"""
"""4940-01-670-9219""","""GUN,AIR BLOW"""
"""5130-00-417-8208""","""BIT,SCREWDRIVER"""
"""4730-01-672-7783""","""PLUG,HOSE"""
"""5133-01-017-8307""","""BIT,SPADE,WOOD BORING"""
"""5110-01-645-7869""","""SAW,HAND,METAL CUTTING"""
"""5120-00-061-8545""","""HAMMER,HAND"""
"""5140-01-672-4591""","""CASE,WOOD BORING BIT"""
"""5130-01-455-5580""","""DRILL,ELECTRIC,PORTABLE"""
"""5110-01-672-4304""","""SHEARS,METAL CUTTING,HAND"""
"""5110-01-671-9810""","""CUTTER,TUBE"""
"""5130-01-522-7119""","""BIT,SCREWDRIVER"""
"""5133-01-017-8309""","""BIT,SPADE,WOOD BORING"""
"""5120-01-593-0271""","""PULLER,FUSE"""
"""5210-01-365-0081""","""LEVEL AND PLUMB"""
"""5130-01-643-7217""","""BLADE,RECIPROCATING SAW"""
"""5120-01-671-8615""","""DISPENSER,SEALANT"""
"""5140-01-672-2600""","""ROLL,TOOLS AND ACCESSORIES"""
"""6625-01-670-3630""","""INDICATOR,PHASE SEQUENCE"""
"""5140-01-671-7979""","""PANEL,INSERT,TOOL BOX"""
"""5133-01-671-6121""","""BIT,AUGER"""
"""5140-01-661-9230""","""SUSPENDERS,TOOL BELT"""
"""5120-01-604-3680""","""BIT,SCREWDRIVER"""
"""5120-01-660-5228""","""KEY SET,SOCKET HEAD SCREW"""
"""5110-01-648-7927""","""CHISEL,COLD,HAND"""
"""5110-01-533-0838""","""FILE,HAND"""
"""5120-01-671-8009""","""WRENCH SET,PIPE,INTERNAL GRIPPIN"""
"""5120-01-671-8327""","""TACKER"""
"""5130-01-596-1421""","""BLADE,RECIPROCATING SAW"""
"""5140-01-671-8031""","""PANEL,INSERT,TOOL BOX"""
"""5140-01-671-3002""","""POUCH,MECHANIC'S TOOLS"""
"""5120-01-530-4642""","""BIT,SCREWDRIVER"""
"""3439-01-672-1270""","""FLUX,SOLDERING"""
"""5120-01-671-6730""","""WRENCH,BOX AND OPEN END,COMBINAT"""
"""5340-01-408-8445""","""PADLOCK"""
"""5133-01-671-5566""","""DRILL,MASONRY,ROTARY DRIVEN"""
"""5130-01-629-8505""","""CABLE ASSEMBLY,SPECIAL PURPOSE,E"""
"""4930-01-672-6267""","""HANDLE GRIP,OIL GUN"""
"""5120-01-528-5740""","""CLAMP,PLIER"""
"""5110-01-587-6718""","""BLADE,KNIFE"""
"""5120-01-380-9007""","""EXTENSION,SOCKET WRENCH"""
